[2019-06-01 16:56:10,414][MainThread:29824][task_id:xjLib.log][log.py-><listcomp>:130][DEBUG][总项目：819]
[2019-06-01 16:57:28,181][MainThread:29824][task_id:xjLib.log][log.py-><listcomp>:130][DEBUG][公告正文及附件下载完成，请检查。]
[2019-06-01 17:02:51,069][MainThread:28312][task_id:xjLib.log][log.py-><listcomp>:130][DEBUG][开始下载公告，获取列表信息......]
[2019-06-01 17:02:51,074][MainThread:28312][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): oa.jklife.com:80]
[2019-06-01 17:02:51,118][MainThread:28312][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://oa.jklife.com:80 "POST /seeyon/ajax.do?method=ajaxAction&managerName=bulDataManager&rnd=97013 HTTP/1.1" 200 None]
[2019-06-01 17:02:51,120][MainThread:28312][task_id:xjLib.log][log.py-><listcomp>:130][DEBUG][总页数：41	总size数：819]
[2019-06-01 17:02:51,122][MainThread:28312][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): oa.jklife.com:80]
[2019-06-01 17:02:51,147][MainThread:28312][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://oa.jklife.com:80 "POST /seeyon/ajax.do?method=ajaxAction&managerName=bulDataManager&rnd=40592 HTTP/1.1" 200 None]
[2019-06-01 17:02:51,151][MainThread:28312][task_id:xjLib.log][log.py-><listcomp>:130][DEBUG][总项目：0]
[2019-06-01 17:02:51,151][MainThread:28312][task_id:xjLib.log][log.py-><listcomp>:130][DEBUG][获取列表信息完成，开始下载正文及附件......]
[2019-06-01 17:02:51,152][MainThread:28312][task_id:xjLib.log][log.py-><listcomp>:130][DEBUG][公告正文及附件下载完成，请检查。]
