[2020-02-07 15:21:28,144][MainThread:18352][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,079][MainThread:18352][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/ HTTP/1.1" 200 12494]
[2020-02-07 15:21:29,328][Thread-1:16596][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,329][Thread-2:13088][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,336][Thread-3:18148][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,339][Thread-4:2596][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,346][Thread-5:10356][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,348][Thread-7:18900][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,348][Thread-6:13044][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,352][Thread-8:15324][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,358][Thread-9:18668][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,362][Thread-10:19164][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,367][Thread-11:18488][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,375][Thread-12:8968][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,376][Thread-13:8292][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,381][Thread-14:18796][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,391][Thread-15:18084][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,394][Thread-17:17152][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,395][Thread-16:17764][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,399][Thread-18:564][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,408][Thread-19:8396][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,411][Thread-20:10516][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,415][Thread-21:11340][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,421][Thread-23:5156][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,422][Thread-22:16704][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,427][Thread-24:10664][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,430][Thread-25:18096][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:29,773][Thread-1:16596][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468919507.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,777][Thread-1:16596][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,778][Thread-2:13088][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468857533.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,779][Thread-3:18148][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468806258.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,786][Thread-2:13088][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,786][Thread-3:18148][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,787][Thread-4:2596][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468769567.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,792][Thread-4:2596][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,795][Thread-5:10356][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468665103.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,797][Thread-7:18900][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468479248.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,802][Thread-6:13044][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468573380.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,807][Thread-5:10356][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,808][Thread-8:15324][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468437402.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,809][Thread-9:18668][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468358964.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,811][Thread-7:18900][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,814][Thread-10:19164][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468317459.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,817][Thread-6:13044][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,823][Thread-11:18488][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468249951.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,824][Thread-8:15324][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,829][Thread-9:18668][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,833][Thread-10:19164][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,837][Thread-12:8968][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468221100.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,838][Thread-13:8292][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468157427.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,841][Thread-14:18796][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468130420.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,844][Thread-11:18488][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,849][Thread-15:18084][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468068236.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,856][Thread-17:17152][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/467822418.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,858][Thread-16:17764][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/468068215.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,858][Thread-18:564][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/467734151.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,859][Thread-12:8968][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,862][Thread-14:18796][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,863][Thread-13:8292][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,870][Thread-20:10516][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/467518253.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,871][Thread-15:18084][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:813][DEBUG][Starting new HTTPS connection (1): www.biqukan.com:443]
[2020-02-07 15:21:29,873][Thread-22:16704][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/467276386.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,875][Thread-19:8396][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/467520742.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,875][Thread-21:11340][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/467353141.html HTTP/1.1" 301 0]
[2020-02-07 15:21:29,876][Thread-23:5156][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][http://www.biqukan.com:80 "GET /65_65593/466966912.html HTTP/1.1" 301 0]
